HYDRO	-51	44.3709	-69.3045	44.3774	-69.2892	23	0.000030	1251	44.8743	-68.8000	48
HYDRO	-52	44.3722	-69.2964	44.3739	-69.2952	23	0.000001	1251	44.8729	-68.7958	48
HYDRO	-53	44.3705	-69.2962	44.3716	-69.2954	23	0.000001	1251	44.8710	-68.7958	48
HYDRO	-54	44.3693	-69.2987	44.3704	-69.2975	23	0.000001	1251	44.8698	-68.7980	48
HYDRO	-55	44.3660	-69.3004	44.3690	-69.2974	23	0.000003	1251	44.8669	-68.7987	48
HYDRO	-56	44.3653	-69.3016	44.3658	-69.3007	23	0.000000	1251	44.8655	-68.8012	48
HYDRO	-57	44.3648	-69.2990	44.3668	-69.2975	23	0.000002	1251	44.8656	-68.7982	48
HYDRO	-58	44.3646	-69.2998	44.3653	-69.2990	23	0.000000	1251	44.8649	-68.7994	48
HYDRO	-59	44.3641	-69.3014	44.3650	-69.3008	23	0.000000	1251	44.8645	-68.8011	48
HYDRO	-60	44.3633	-69.3008	44.3641	-69.2999	23	0.000001	1251	44.8637	-68.8003	48
ISLAND	-61	44.3659	-69.1935	44.3680	-69.1887	23	0.000006	1252	44.8662	-68.6900	48
HYDRO	-62	44.3495	-69.1526	44.3508	-69.1513	23	0.000001	1251	44.8501	-68.6521	48
ISLAND	-63	44.3470	-69.1544	44.3550	-69.1461	23	0.000040	1252	44.8506	-68.6504	48
ISLAND	-64	44.3219	-69.1350	44.3255	-69.1285	23	0.000013	1252	44.8237	-68.6320	48
ISLAND	-65	44.2903	-69.1473	44.3003	-69.1398	23	0.000028	1252	44.7934	-68.6435	48
HYDRO	-66	44.2646	-69.1311	44.2678	-69.1283	23	0.000002	1251	44.7657	-68.6294	48
ISLAND	-67	44.3604	-69.1252	44.3755	-69.1026	23	0.000163	1252	44.8676	-68.6124	48
ISLAND	-68	44.3209	-69.0536	44.3466	-69.0158	23	0.000168	1252	44.8332	-68.5348	48
ISLAND	-69	44.2995	-69.0081	44.3221	-68.9784	23	0.000043	1252	44.8180	-68.5017	48
ISLAND	-70	44.2963	-69.0857	44.3150	-69.0560	23	0.000104	1252	44.8006	-68.5703	48
ISLAND	-71	44.2905	-69.1009	44.2924	-69.0964	23	0.000003	1252	44.7915	-68.5992	48
HYDRO	-72	44.2672	-69.1241	44.2680	-69.1226	23	0.000001	1251	44.7676	-68.6234	48
ISLAND	-73	44.6951	-69.2828	44.7411	-69.2570	23	0.000141	1252	45.2078	-68.7705	48
ISLAND	-74	44.6188	-69.3522	44.6794	-69.3104	23	0.001178	1252	45.1461	-68.8300	48
ISLAND	-75	44.6766	-69.3123	44.6777	-69.3098	23	0.000002	1252	45.1771	-68.8111	48
ISLAND	-76	44.6832	-69.1942	44.6836	-69.1938	23	0.000000	1252	45.1833	-68.6940	48
ISLAND	-77	44.6361	-69.1400	44.6425	-69.1336	23	0.000020	1252	45.1400	-68.6370	48
ISLAND	-78	44.5036	-69.3167	44.5295	-69.2896	23	0.000197	1252	45.0160	-68.8061	48
ISLAND	-79	44.6034	-69.1512	44.6058	-69.1487	23	0.000003	1252	45.1045	-68.6500	48
ISLAND	-80	44.4940	-69.1396	44.5167	-69.1267	23	0.000054	1252	45.0111	-68.6313	48
ISLAND	-81	44.5001	-69.1817	44.5012	-69.1798	23	0.000001	1252	45.0006	-68.6808	48
ISLAND	-82	44.5308	-69.1773	44.5352	-69.1586	23	0.000022	1252	45.0329	-68.6682	48
ISLAND	-83	44.5378	-69.0541	44.5384	-69.0529	23	0.000000	1252	45.0381	-68.5536	48
ISLAND	-84	44.5340	-69.0601	44.5416	-69.0541	23	0.000019	1252	45.0379	-68.5579	48
ISLAND	-85	44.5368	-69.0525	44.5375	-69.0513	23	0.000000	1252	45.0371	-68.5518	48
HYDRO	-86	44.2310	-68.9435	44.3932	-68.8564	23	0.003536	1251	44.8238	-68.4015	48
ISLAND	-87	44.4312	-68.9947	44.4323	-68.9930	23	0.000001	1252	44.9317	-68.4939	48
ISLAND	-88	44.4576	-68.9310	44.4608	-68.9285	23	0.000003	1252	44.9592	-68.4296	48
ISLAND	-89	44.4794	-68.9676	44.4895	-68.9621	23	0.000021	1252	44.9825	-68.4638	48
ISLAND	-90	44.4888	-68.9702	44.4958	-68.9599	23	0.000018	1252	44.9923	-68.4675	48
HYDRO	-91	44.4601	-68.8105	44.4614	-68.8096	23	0.000001	1251	44.9608	-68.3101	48
HYDRO	-92	44.3337	-68.9248	44.3399	-68.9237	23	0.000004	1251	44.8355	-68.4242	48
HYDRO	-93	44.3251	-68.9302	44.3338	-68.9282	23	0.000011	1251	44.8277	-68.4274	48
HYDRO	-94	44.3158	-68.9333	44.3205	-68.9297	23	0.000005	1251	44.8170	-68.4326	48
HYDRO	-95	44.2683	-68.9455	44.2895	-68.9370	23	0.000030	1251	44.7721	-68.4369	48
HYDRO	-96	44.2646	-68.9282	44.2658	-68.9269	23	0.000001	1251	44.7652	-68.4276	48
HYDRO	-97	44.2554	-68.9216	44.2561	-68.9208	23	0.000000	1251	44.7557	-68.4212	48
HYDRO	-98	44.2388	-68.9745	44.2726	-68.9359	23	0.000391	1251	44.7569	-68.4527	48
HYDRO	-99	44.2557	-68.9508	44.2779	-68.9380	23	0.000059	1251	44.7716	-68.4449	48
HYDRO	-100	44.3550	-68.8610	44.3555	-68.8601	23	0.000000	1251	44.8553	-68.3605	48
HYDRO	-101	44.2479	-68.9257	44.2486	-68.9247	23	0.000001	1251	44.7482	-68.4252	48
HYDRO	-102	44.2435	-68.9365	44.2544	-68.9246	23	0.000012	1251	44.7455	-68.4351	48
HYDRO	-103	44.2298	-68.9644	44.2338	-68.9620	23	0.000004	1251	44.7313	-68.4631	48
HYDRO	-104	44.2107	-68.9523	44.2117	-68.9515	23	0.000001	1251	44.7112	-68.4519	48
HYDRO	-105	44.2041	-68.9560	44.2116	-68.9491	23	0.000013	1251	44.7060	-68.4549	48
HYDRO	-106	44.2139	-68.9471	44.2591	-68.9284	23	0.000102	1251	44.7286	-68.4434	48
ISLAND	-107	44.6237	-68.8806	44.6372	-68.8745	23	0.000011	1252	45.1312	-68.3766	48
ISLAND	-108	44.6172	-68.9664	44.6293	-68.9584	23	0.000014	1252	45.1195	-68.4629	48
ISLAND	-109	44.5500	-68.9431	44.5644	-68.9300	23	0.000073	1252	45.0571	-68.4378	48
ISLAND	-110	44.5042	-69.0104	44.5681	-68.9657	23	0.000627	1252	45.0493	-68.4863	48
ISLAND	-111	44.5022	-68.9980	44.5046	-68.9951	23	0.000005	1252	45.0034	-68.4965	48
ISLAND	-112	44.6606	-69.0657	44.6650	-69.0534	23	0.000017	1252	45.1627	-68.5615	48
ISLAND	-113	44.6456	-69.0328	44.6483	-69.0290	23	0.000006	1252	45.1470	-68.5309	48
ISLAND	-114	44.3629	-69.3344	44.3747	-69.3229	23	0.000027	1252	44.8689	-68.8283	48
HYDRO	-115	44.2322	-68.9609	44.2344	-68.9584	23	0.000003	1251	44.7333	-68.4596	48
ISLAND	-116	44.4859	-69.1398	44.5201	-69.1241	23	0.000046	1252	44.9952	-68.6334	48
ISLAND	-117	44.3527	-69.3855	44.3580	-69.3785	23	0.000013	1252	44.8554	-68.8811	48
HYDRO	-118	44.2631	-69.1246	44.2665	-69.1194	23	0.000003	1251	44.7655	-68.6227	48
HYDRO	-119	44.2626	-69.1245	44.2712	-69.1173	23	0.000010	1251	44.7694	-68.6234	48
